Ideus code;EAN barcode;Product name;Availability;Photo;Product type;Power supply;Power;Colour;Lampholder type;Dedicated light source;Replacing the light source;Dimmer compatibility;Colour temperature;Light colour;Luminous flux;Luminous beam angle;Ra;Light source lifetime;Power switch;Adjusting the lighting direction;IP;Possibility of outdoor use;Minimum distance from a lit object;Electric shock protection class;CE;Material;Comments;Height;Width;Depth;Mounting hole x;Mounting hole y
02436;5901477324369;TRACK 1M WHITE;100;02436.jpg;Track;220-240V 50/60Hz;;white;;;;;0;;;0;;0;;;20;no;0;1;yes;aluminium, copper, plastic;max 16A;22;1000;36;0;0;
02437;5901477324376;TRACK 1M BLACK;100;02437.jpg;Track;220-240V 50/60Hz;;black;;;;;0;;;0;;0;;;20;no;0;1;yes;aluminium, copper, plastic;max 16A;22;1000;36;0;0;
02439;5901477324390;TRACK 2M WHITE;100;02439.jpg;Track;220-240V 50/60Hz;;white;;;;;0;;;0;;0;;;20;no;0;1;yes;aluminium, copper, plastic;max 16A;22;2000;36;0;0;
02440;5901477324406;TRACK 2M BLACK;100;02440.jpg;Track;220-240V 50/60Hz;;black;;;;;0;;;0;;0;;;20;no;0;1;yes;aluminium, copper, plastic;max 16A;22;2000;36;0;0;
02479;5901477324796;BRENA LED 4W CHROME NW (flamingo);100;02479.jpg;Decorative SMD LED fitting;230V 50Hz;4 W;chrome;;21 SMD LED, in set;no;no;4000;neutral white;460 lm;60;>80;30000;yes;yes;20;no;0.5;1;yes;stainless steel;;175;405;52;0;0;
02480;5901477324802;BRENA LED 6W CHROME NW (flamingo);100;02480.jpg;Decorative SMD LED fitting;230V 50Hz;6 W;chrome;;30 SMD LED, in set;no;no;4000;neutral white;750 lm;60;>80;30000;yes;yes;20;no;0.5;1;yes;stainless steel;;185;555;52;0;0;
02483;5901477324833;SLIM LED C 9W WHITE WW;100;02483.jpg;Ceiling lighting point SMD LED fitting;230V 50Hz;9 W;white;;SMD LED, in set;no;no;2700;warm white;540 lm;120;>80;30000;no;no;20;no;0.5;2;yes;aluminium alloy cast, plastic;;25;145;145;135;0;
02484;5901477324840;SLIM LED C 9W WHITE CW;100;02484.jpg;Ceiling lighting point SMD LED fitting;230V 50Hz;9 W;white;;SMD LED, in set;no;no;6500;cold white;540 lm;120;>80;30000;no;no;20;no;0.5;2;yes;aluminium alloy cast, plastic;;25;145;145;135;0;
02485;5901477324857;SLIM LED C 12W WHITE WW;100;02485.jpg;Downlight SMD LED fitting;230V 50Hz;12 W;white;;SMD LED, in set;no;no;2700;warm white;850 lm;120;>80;30000;no;no;20;no;0.5;2;yes;aluminium alloy cast, plastic;;25;170;170;154;0;
02486;5901477324864;SLIM LED C 12W WHITE CW;100;02486.jpg;Downlight SMD LED fitting;230V 50Hz;12 W;white;;SMD LED, in set;no;no;6500;cold white;850 lm;120;>80;30000;no;no;20;no;0.5;2;yes;aluminium alloy cast, plastic;;25;170;170;154;0;
02487;5901477324871;SLIM LED C 18W WHITE WW;100;02487.jpg;Downlight SMD LED fitting;230V 50Hz;18 W;white;;SMD LED, in set;no;no;2700;warm white;1400 lm;120;>80;30000;no;no;20;no;0.5;2;yes;aluminium alloy cast, plastic;;25;223;223;203;0;
02488;5901477324888;SLIM LED C 18W WHITE CW;100;02488.jpg;Downlight SMD LED fitting;230V 50Hz;18 W;white;;SMD LED, in set;no;no;6500;cold white;1400 lm;120;>80;30000;no;no;20;no;0.5;2;yes;aluminium alloy cast, plastic;;25;223;223;203;0;
02515;5901477325151;CONNECTOR I WHITE;100;02515.jpg;Track connector;220-240V 50/60Hz;;white;;;;;0;;;0;;0;;;20;no;0;2;yes;aluminium, copper, plastic;max 16A;21;80;30;0;0;
02516;5901477325168;CONNECTOR I BLACK;100;02516.jpg;Track connector;220-240V 50/60Hz;;black;;;;;0;;;0;;0;;;20;no;0;2;yes;aluminium, copper, plastic;max 16A;21;80;30;0;0;
